,pv
1618,4.770833333333333
1619,5.958333333333333
1620,6.25
1621,5.618055555555555
1622,4.708333333333333
1623,3.2416666666666667
1624,0.9708333333333333
1625,0.14076388888888888
1626,0.004861111111111111
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.08770833333333333
1639,1.0416666666666667
1640,2.946527777777778
1641,4.805555555555555
1642,6.291666666666667
1643,7.326388888888889
1644,7.625
1645,7.159722222222222
1646,6.027777777777778
1647,4.361111111111111
1648,1.7583333333333333
1649,0.29430555555555554
1650,0.011180555555555555
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.065625
1663,0.6847222222222222
1664,2.379166666666667
1665,3.861111111111111
1666,5.736111111111111
1667,6.729166666666667
1668,6.597222222222222
